time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-10-13 08:06:52,NodoAngel,22.91,57.81,1007.0,18.0,-101,9.5
2025-10-13 08:07:52,NodoAngel,22.88,57.89,1007.0,16.0,-101,11.3
2025-10-13 08:08:52,NodoAngel,22.88,58.04,1007.0,18.0,-100,10.8
2025-10-13 08:09:53,NodoAngel,22.87,57.99,1007.0,16.0,-96,10.0
2025-10-13 08:10:53,NodoAngel,22.85,57.86,1007.0,16.0,-98,10.3
2025-10-13 08:11:53,NodoAngel,22.84,57.91,1006.0,18.0,-102,9.3
2025-10-13 08:12:53,NodoAngel,22.83,57.98,1007.0,16.0,-98,8.8
2025-10-13 08:13:53,NodoAngel,22.82,58.0,1007.0,16.0,-100,10.0
2025-10-13 08:14:53,NodoAngel,22.82,57.97,1007.0,16.0,-102,9.8
2025-10-13 08:15:53,NodoAngel,22.83,58.15,1007.0,18.0,-102,5.5
2025-10-13 08:16:54,NodoAngel,22.83,57.95,1007.0,16.0,-102,8.8
