time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-12-14 00:00:30,NODO 1.12,22.3,69.76,1003.0,6.0,-115,-2.0
2025-12-14 00:01:40,NODO 1.25,22.64,63.36,1004.0,22.0,-109,6.0
2025-12-14 00:05:20,NODO 1.29,22.62,67.8,1003.0,18.0,-116,-4.0
2025-12-14 00:05:52,NODO 1.26,22.61,72.59,1004.0,2.0,-113,2.5
2025-12-14 00:06:29,NODO 1.30,22.37,67.2,1003.0,30.0,-113,2.3
2025-12-14 00:06:56,NODO 1.17,23.85,62.61,1003.0,8.0,-106,3.0
2025-12-14 00:08:38,NODO 1.2,22.66,81.75,1004.0,0.0,-116,-6.0
2025-12-14 00:09:47,NODO 1.11,22.54,69.38,1004.0,36.0,-112,3.0
2025-12-14 00:10:25,NODO 1.1,22.41,66.93,1004.0,8.0,-115,-3.0
2025-12-14 00:13:16,NODO 1.28,22.67,79.85,1003.0,16.0,-114,0.8
