time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-12-15 00:01:57,NODO 1.29,23.75,72.13,1004.0,18.0,-112,2.5
2025-12-15 00:02:01,NODO 1.26,23.75,76.14,1005.0,6.0,-113,1.8
2025-12-15 00:03:03,NODO 1.17,25.11,65.24,1004.0,6.0,-109,6.5
2025-12-15 00:03:45,NODO 1.30,23.5,71.71,1004.0,34.0,-113,1.0
2025-12-15 00:04:58,NODO 1.2,23.79,85.06,1004.0,0.0,-115,-1.5
2025-12-15 00:06:26,NODO 1.11,23.64,73.07,1004.0,36.0,-112,2.5
2025-12-15 00:07:05,NODO 1.1,23.51,71.28,1005.0,10.0,-115,-0.8
2025-12-15 00:09:51,NODO 1.28,23.78,83.14,1004.0,22.0,-109,6.0
2025-12-15 00:13:18,NODO 1.6,23.61,73.11,1005.0,4.0,-113,1.3
2025-12-15 00:14:51,NODO 1.4,23.75,70.16,1004.0,22.0,-114,-2.5
2025-12-15 00:14:54,NODO 1.3,23.53,71.3,1004.0,10.0,-113,-1.0
