time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-11-01 00:00:15,NodoTest2,20.85,64.8,1006.0,22.0,-111,3.3
time,deviceName,temperature,humidity,pressure_hPa,battery_mV,rssi,snr
2025-11-01 00:00:15,NodoTest2,20.85,64.8,1006.0,22.0,-111,3.3
2025-11-01 00:00:37,NodoAngel,21.05,64.1,1005.0,20.0,-103,10.0
2025-11-01 00:00:37,NodoAngel,21.05,64.1,1005.0,20.0,-103,10.0
2025-11-01 00:01:16,NodoTest2,20.85,64.75,1006.0,22.0,-108,6.3
2025-11-01 00:01:16,NodoTest2,20.85,64.75,1006.0,22.0,-108,6.3
2025-11-01 00:01:38,NodoAngel,21.05,64.11,1005.0,20.0,-106,7.0
2025-11-01 00:01:38,NodoAngel,21.05,64.11,1005.0,20.0,-106,7.0
2025-11-01 00:02:16,NodoTest2,20.86,64.86,1006.0,22.0,-116,-9.3
2025-11-01 00:02:16,NodoTest2,20.86,64.86,1006.0,22.0,-116,-9.3
