time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-15 01:15:38,INMP441,58.5,Background Noise,54.5,1.55,-110,4.5
2025-12-15 01:16:38,INMP441,59.5,Background Noise,54.6,1.74,-116,-5.5
2025-12-15 01:17:38,INMP441,57.9,Background Noise,54.7,1.49,-106,7.0
2025-12-15 01:18:38,INMP441,59.1,Background Noise,54.7,1.38,-105,9.5
2025-12-15 01:19:38,INMP441,59.4,Background Noise,54.7,1.52,-108,6.5
2025-12-15 01:20:38,INMP441,59.4,Background Noise,54.6,1.43,-105,9.5
2025-12-15 01:21:39,INMP441,59.5,Background Noise,54.7,1.77,-110,6.0
2025-12-15 01:22:39,INMP441,59.2,Background Noise,54.7,1.54,-113,1.5
2025-12-15 01:23:39,INMP441,57.9,Background Noise,54.8,1.44,-106,9.0
2025-12-15 01:24:39,INMP441,59.2,Background Noise,54.6,1.45,-106,6.8
2025-12-15 01:25:39,INMP441,58.1,Background Noise,54.7,1.39,-109,6.5
2025-12-15 01:26:39,INMP441,58.5,Background Noise,54.9,1.46,-108,6.8
2025-12-15 01:27:39,INMP441,59.0,Background Noise,54.8,1.45,-110,5.3
2025-12-15 01:28:39,INMP441,58.2,Background Noise,54.5,1.65,-116,-5.3
2025-12-15 01:29:39,INMP441,58.0,Background Noise,54.7,1.34,-105,9.3
2025-12-15 01:30:39,INMP441,58.5,Background Noise,54.7,1.58,-113,2.0
2025-12-15 01:31:39,INMP441,58.3,Background Noise,54.6,1.46,-116,-4.3
2025-12-15 01:32:39,INMP441,58.4,Background Noise,54.6,1.69,-106,9.5
2025-12-15 01:33:39,INMP441,57.6,Background Noise,54.7,1.5,-109,6.8
2025-12-15 01:34:39,INMP441,58.3,Background Noise,54.6,1.7,-108,6.8
2025-12-15 01:35:39,INMP441,58.1,Background Noise,54.6,1.47,-105,9.0
2025-12-15 01:36:39,INMP441,58.0,Background Noise,54.7,1.39,-107,6.3
2025-12-15 01:37:39,INMP441,58.3,Background Noise,54.8,1.39,-109,6.0
2025-12-15 01:38:39,INMP441,59.0,Background Noise,54.7,1.56,-110,4.5
2025-12-15 01:39:39,INMP441,58.0,Background Noise,54.6,1.73,-112,3.5
2025-12-15 01:40:39,INMP441,58.3,Background Noise,54.6,1.59,-105,9.0
2025-12-15 01:41:39,INMP441,57.9,Background Noise,54.2,1.51,-116,-4.8
2025-12-15 01:42:39,INMP441,58.4,Background Noise,54.6,1.52,-105,6.8
2025-12-15 01:43:39,INMP441,58.4,Background Noise,54.6,1.82,-109,6.0
2025-12-15 01:44:39,INMP441,58.7,Background Noise,54.6,1.45,-104,10.0
2025-12-15 01:45:39,INMP441,58.4,Background Noise,54.5,1.72,-107,7.5
2025-12-15 01:46:39,INMP441,58.0,Background Noise,54.5,1.43,-109,5.3
2025-12-15 01:47:40,INMP441,58.5,Background Noise,54.5,1.48,-106,4.3
2025-12-15 01:48:40,INMP441,58.2,Background Noise,54.7,1.5,-105,8.8
2025-12-15 01:49:40,INMP441,57.8,Background Noise,54.6,1.43,-105,9.5
2025-12-15 01:50:40,INMP441,58.6,Background Noise,54.6,1.5,-110,6.0
2025-12-15 01:51:40,INMP441,57.9,Background Noise,54.5,1.43,-112,2.8
2025-12-15 01:52:40,INMP441,59.3,Background Noise,54.5,2.01,-108,7.3
2025-12-15 01:53:40,INMP441,58.0,Background Noise,54.4,2.11,-116,-6.8
2025-12-15 01:54:40,INMP441,59.6,Background Noise,54.7,1.59,-110,5.0
2025-12-15 01:55:40,INMP441,58.4,Background Noise,54.6,1.4,-105,9.0
2025-12-15 01:56:40,INMP441,57.9,Background Noise,54.7,1.49,-112,2.8
2025-12-15 01:57:40,INMP441,58.1,Background Noise,54.6,1.49,-110,6.0
2025-12-15 01:58:40,INMP441,59.7,Background Noise,54.7,1.69,-106,7.0
2025-12-15 02:00:40,INMP441,58.4,Background Noise,54.6,1.71,-105,9.8
2025-12-15 02:01:40,INMP441,58.3,Background Noise,54.8,1.43,-108,7.0
2025-12-15 02:02:40,INMP441,58.1,Background Noise,54.5,1.49,-111,4.0
2025-12-15 02:03:40,INMP441,57.8,Background Noise,54.6,1.48,-104,10.5
2025-12-15 02:04:40,INMP441,58.7,Background Noise,54.7,1.46,-110,5.5
2025-12-15 02:05:40,INMP441,58.4,Background Noise,54.6,1.63,-105,9.8
2025-12-15 02:06:40,INMP441,58.0,Background Noise,54.6,1.38,-109,6.5
2025-12-15 02:07:40,INMP441,58.3,Background Noise,54.6,1.8,-107,7.0
2025-12-15 02:08:40,INMP441,58.1,Background Noise,54.7,1.76,-117,-6.5
2025-12-15 02:09:40,INMP441,58.0,Background Noise,54.6,1.81,-112,1.3
2025-12-15 02:10:40,INMP441,58.0,Background Noise,54.7,1.41,-113,2.8
2025-12-15 02:11:40,INMP441,58.2,Background Noise,54.5,1.72,-109,6.3
2025-12-15 02:12:40,INMP441,58.8,Background Noise,54.7,1.48,-106,9.0
2025-12-15 02:13:41,INMP441,58.4,Background Noise,54.8,1.43,-108,4.8
2025-12-15 02:14:41,INMP441,58.8,Background Noise,54.8,1.35,-108,7.3
2025-12-15 02:15:41,INMP441,59.8,Background Noise,54.7,1.85,-105,9.8
2025-12-15 02:16:41,INMP441,58.6,Background Noise,54.7,1.93,-116,-5.0
2025-12-15 02:17:41,INMP441,58.7,Background Noise,54.5,1.64,-111,4.3
2025-12-15 02:18:41,INMP441,57.5,Background Noise,54.4,1.81,-110,5.3
2025-12-15 02:19:41,INMP441,58.8,Background Noise,54.8,1.46,-107,8.0
2025-12-15 02:20:41,INMP441,58.7,Background Noise,54.6,1.73,-105,10.0
2025-12-15 02:21:41,INMP441,59.1,Background Noise,54.8,1.64,-112,3.3
2025-12-15 02:22:41,INMP441,58.6,Background Noise,54.8,1.76,-107,7.0
2025-12-15 02:23:41,INMP441,58.0,Background Noise,54.7,1.5,-105,9.3
2025-12-15 02:24:41,INMP441,58.6,Background Noise,54.7,1.54,-109,6.3
2025-12-15 02:25:41,INMP441,58.3,Background Noise,54.8,1.53,-114,-0.8
2025-12-15 02:26:41,INMP441,58.5,Background Noise,54.7,1.78,-109,2.5
2025-12-15 02:27:41,INMP441,58.1,Background Noise,54.5,1.84,-116,-4.8
2025-12-15 02:28:41,INMP441,58.5,Background Noise,54.7,1.78,-107,6.5
2025-12-15 02:29:41,INMP441,58.2,Background Noise,54.7,1.44,-112,3.3
2025-12-15 02:30:41,INMP441,58.9,Background Noise,54.7,1.79,-105,8.8
2025-12-15 02:31:41,INMP441,58.2,Background Noise,54.7,1.52,-109,6.3
2025-12-15 02:32:41,INMP441,57.9,Background Noise,54.6,1.57,-107,6.8
2025-12-15 02:33:41,INMP441,58.9,Background Noise,54.5,1.44,-104,9.3
2025-12-15 02:34:41,INMP441,58.7,Background Noise,54.8,1.75,-111,3.8
2025-12-15 02:35:41,INMP441,58.3,Background Noise,54.5,1.42,-117,-14.0
2025-12-15 02:36:42,INMP441,57.8,Background Noise,54.5,1.49,-104,6.3
2025-12-15 02:37:42,INMP441,59.0,Background Noise,54.7,1.51,-109,5.8
2025-12-15 02:38:42,INMP441,59.0,Background Noise,54.6,1.48,-108,6.3
2025-12-15 02:39:42,INMP441,57.7,Background Noise,54.7,1.49,-106,6.3
2025-12-15 02:40:42,INMP441,58.3,Background Noise,54.6,1.51,-114,0.8
2025-12-15 02:41:42,INMP441,58.4,Background Noise,54.7,1.4,-104,9.5
2025-12-15 02:42:42,INMP441,58.5,Background Noise,54.6,1.45,-112,3.5
2025-12-15 02:43:42,INMP441,57.9,Background Noise,54.7,1.41,-116,-4.5
2025-12-15 02:44:42,INMP441,57.9,Background Noise,54.6,1.46,-105,9.0
2025-12-15 02:45:42,INMP441,58.1,Background Noise,54.8,1.54,-109,6.3
2025-12-15 02:46:42,INMP441,57.9,Background Noise,54.7,1.44,-106,7.0
2025-12-15 02:47:42,INMP441,59.0,Background Noise,54.9,1.7,-105,9.3
2025-12-15 02:48:42,INMP441,58.4,Background Noise,54.8,1.47,-108,6.8
2025-12-15 02:49:42,INMP441,58.1,Background Noise,54.7,1.46,-107,7.5
