time,deviceName,Lmax_dB,Lmax_class,LAeq1min_dB,LAeq_Background Noise,LAeq_People,LAeq_Vehicle,pct_Background Noise,pct_People,pct_Vehicle,P10_dB,P50_dB,P90_dB,rssi,snr
2026-01-19 00:03:01,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,99.5,0.3,0.3,50.7,50.7,50.7,-102,11.3
2026-01-19 00:08:01,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.7,0.3,0.0,50.7,50.7,50.7,-103,11.5
2026-01-19 00:13:01,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,98.9,0.7,0.4,50.7,50.7,50.7,-102,11.5
2026-01-19 00:18:01,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.7,0.3,0.0,50.7,50.7,50.7,-104,11.0
2026-01-19 00:23:01,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,99.8,0.2,0.1,50.7,50.7,50.7,-104,11.0
2026-01-19 00:28:01,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,99.3,0.7,0.1,50.7,50.7,50.7,-103,10.5
2026-01-19 00:33:01,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.8,0.2,0.0,50.7,50.7,50.7,-102,9.5
2026-01-19 00:38:01,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.4,0.6,0.0,50.7,50.7,50.7,-104,10.8
2026-01-19 00:43:02,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.9,0.1,0.0,50.7,50.7,50.7,-101,10.3
2026-01-19 00:48:02,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,98.8,0.7,0.4,50.7,50.7,50.7,-101,12.3
2026-01-19 00:53:02,INMP441,50.7,Background Noise,50.7,50.7,0.0,50.7,99.9,0.0,0.1,50.7,50.7,50.7,-102,11.5
2026-01-19 00:58:02,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-105,8.5
2026-01-19 01:03:02,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-104,8.5
2026-01-19 01:08:02,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-103,10.8
2026-01-19 01:13:02,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.8,0.2,0.0,50.7,50.7,50.7,-101,11.3
2026-01-19 01:18:02,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-103,11.3
2026-01-19 01:23:03,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.8,0.3,0.0,50.7,50.7,50.7,-102,11.3
2026-01-19 01:28:03,INMP441,50.7,People,50.7,50.7,50.7,50.7,99.3,0.6,0.1,50.7,50.7,50.7,-105,10.0
2026-01-19 01:33:03,INMP441,50.7,Background Noise,50.7,50.7,0.0,50.7,99.9,0.0,0.1,50.7,50.7,50.7,-104,10.3
2026-01-19 01:38:03,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,99.8,0.1,0.1,50.7,50.7,50.7,-103,10.8
2026-01-19 01:43:03,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.9,0.1,0.0,50.7,50.7,50.7,-104,9.5
2026-01-19 01:48:03,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-102,11.0
2026-01-19 01:53:03,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,99.7,0.3,0.1,50.7,50.7,50.7,-104,11.3
2026-01-19 01:58:03,INMP441,50.7,Background Noise,50.7,50.7,0.0,50.7,99.9,0.0,0.1,50.7,50.7,50.7,-103,10.8
2026-01-19 02:03:04,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-104,11.0
2026-01-19 02:08:04,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.5,0.5,0.0,50.7,50.7,50.7,-104,8.3
2026-01-19 02:13:04,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,99.5,0.4,0.1,50.7,50.7,50.7,-103,11.3
2026-01-19 02:18:04,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-102,11.8
2026-01-19 02:23:04,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,99.5,0.3,0.2,50.7,50.7,50.7,-101,12.3
2026-01-19 02:28:04,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.1,0.9,0.0,50.7,50.7,50.7,-103,11.0
2026-01-19 02:33:04,INMP441,50.7,Background Noise,50.7,50.7,50.7,50.7,98.8,1.2,0.1,50.7,50.7,50.7,-103,11.3
2026-01-19 02:38:04,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-102,11.0
2026-01-19 02:43:05,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-103,11.0
2026-01-19 02:48:05,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.8,0.2,0.0,50.7,50.7,50.7,-103,11.3
2026-01-19 02:53:05,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.2,0.8,0.0,50.7,50.7,50.7,-103,11.0
2026-01-19 02:58:05,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.8,0.2,0.0,50.7,50.7,50.7,-103,9.3
2026-01-19 03:03:05,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.2,0.8,0.0,50.7,50.7,50.7,-102,11.3
2026-01-19 03:08:05,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.6,0.4,0.0,50.7,50.7,50.7,-102,11.3
2026-01-19 03:13:05,INMP441,50.7,Background Noise,50.7,50.7,0.0,0.0,100.0,0.0,0.0,50.7,50.7,50.7,-104,9.3
2026-01-19 03:18:05,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,98.7,1.3,0.0,50.7,50.7,50.7,-102,11.5
2026-01-19 03:23:06,INMP441,50.7,Background Noise,50.7,50.7,50.7,0.0,99.6,0.4,0.0,50.7,50.7,50.7,-104,11.0
