time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-01-03 00:01:42,NODO 1.5,25.81,80.51,1006.0,3856.0,86.2,-99,11.5
2026-01-03 00:03:52,NODO 1.28,25.6,90.18,1007.0,3822.0,85.6,-105,9.8
2026-01-03 00:06:55,NODO 1.15,24.99,92.96,1007.0,3827.0,84.5,-114,1.5
2026-01-03 00:07:05,NODO 1.24,24.48,86.66,1006.0,3915.0,85.2,-112,3.5
2026-01-03 00:07:28,NODO 1.17,25.63,76.37,1006.0,3847.0,85.2,-89,13.0
2026-01-03 00:07:32,NODO 1.19,24.67,80.09,1007.0,3871.0,85.3,-88,12.0
2026-01-03 00:07:58,NODO 1.14,25.64,83.86,1007.0,3886.0,86.0,-89,13.8
2026-01-03 00:08:01,NODO 1.4,25.66,77.68,1006.0,3915.0,86.8,-105,9.0
2026-01-03 00:08:11,NODO 1.6,24.86,84.6,1007.0,3812.0,85.8,-89,13.5
2026-01-03 00:08:35,NODO 1.8,25.71,88.45,1005.0,3891.0,86.2,-111,1.5
2026-01-03 00:09:52,NODO 1.31,25.16,82.51,1007.0,3842.0,86.0,-109,4.5
2026-01-03 00:10:16,NODO 1.26,25.77,83.7,1007.0,3822.0,85.3,-109,6.8
2026-01-03 00:11:27,NODO 1.2,25.71,89.82,1006.0,3861.0,84.7,-96,13.0
2026-01-03 00:11:29,NODO 1.21,25.29,76.41,1007.0,3851.0,85.2,-113,0.5
2026-01-03 00:13:50,NODO 1.20,25.88,86.51,1007.0,3847.0,84.6,-106,8.5
2026-01-03 00:15:15,NODO 1.22,25.53,82.07,1005.0,3886.0,85.2,-99,10.3
2026-01-03 00:17:07,NODO 1.7,24.99,83.98,1006.0,3881.0,85.8,-107,7.0
2026-01-03 00:17:09,NODO 1.16,25.42,80.98,1006.0,3891.0,86.1,-112,3.0
2026-01-03 00:17:54,NODO 1.18,25.25,90.22,1006.0,3847.0,86.0,-106,8.8
2026-01-03 00:19:24,NODO 1.9,25.87,78.2,1007.0,3886.0,86.4,-98,12.8
2026-01-03 00:20:33,NODO 1.12,25.17,83.91,1007.0,3881.0,86.4,-105,9.5
2026-01-03 00:20:52,NODO 1.30,25.19,85.92,1007.0,3915.0,86.7,-114,0.5
2026-01-03 00:21:15,NODO 1.29,25.22,81.94,1005.0,3871.0,86.5,-92,11.0
2026-01-03 00:24:28,NODO 1.27,25.39,79.16,1006.0,3450.0,81.5,-103,10.5
2026-01-03 00:25:39,NODO 1.25,24.26,83.62,1006.0,3891.0,81.5,-114,0.8
2026-01-03 00:26:01,NODO 1.11,25.36,81.86,1005.0,3949.0,82.5,-102,11.0
2026-01-03 00:28:25,NODO 1.13,25.49,80.57,1006.0,3886.0,82.1,-109,4.8
2026-01-03 00:28:31,NODO 1.10,25.21,80.19,1006.0,3886.0,82.3,-90,13.0
2026-01-03 00:28:52,NODO 1.32,25.6,98.3,1005.0,3925.0,87.9,-107,8.3
2026-01-03 00:29:39,NODO 1.1,25.16,81.76,1005.0,3871.0,87.7,-104,8.5
2026-01-03 00:29:44,NODO 1.3,25.42,79.79,1006.0,3847.0,86.7,-98,12.8
2026-01-03 00:31:37,NODO 1.5,25.7,81.77,1006.0,3851.0,86.3,-101,11.8
2026-01-03 00:33:47,NODO 1.28,25.5,90.96,1006.0,3822.0,85.7,-103,8.8
2026-01-03 00:36:50,NODO 1.15,24.91,93.27,1007.0,3832.0,84.6,-116,-6.8
2026-01-03 00:37:02,NODO 1.24,24.3,86.59,1006.0,3915.0,85.2,-111,4.5
2026-01-03 00:37:24,NODO 1.17,25.44,77.53,1005.0,3847.0,85.2,-90,14.3
2026-01-03 00:37:29,NODO 1.19,24.52,80.06,1006.0,3861.0,85.3,-86,14.5
2026-01-03 00:37:53,NODO 1.14,25.58,84.03,1006.0,3886.0,85.9,-88,13.8
2026-01-03 00:37:56,NODO 1.4,25.51,79.26,1006.0,3915.0,86.7,-100,12.0
2026-01-03 00:38:07,NODO 1.6,24.73,84.42,1006.0,3812.0,85.7,-88,13.8
2026-01-03 00:38:32,NODO 1.8,25.57,88.92,1005.0,3891.0,86.2,-101,11.3
2026-01-03 00:39:46,NODO 1.31,24.9,83.08,1006.0,3842.0,86.0,-109,1.3
2026-01-03 00:40:13,NODO 1.26,25.62,84.32,1006.0,3822.0,85.3,-105,8.8
2026-01-03 00:41:22,NODO 1.21,25.15,76.91,1006.0,3851.0,84.5,-109,5.5
2026-01-03 00:41:25,NODO 1.2,25.59,91.27,1005.0,3861.0,85.2,-91,13.5
