time,deviceName,temperature,humidity,pressure_hPa,battery_mV,battery_pct,rssi,snr
2026-01-08 00:00:45,NODO 1.22,26.59,71.37,1005.0,3851.0,85.2,-100,10.0
2026-01-08 00:02:49,NODO 1.18,26.02,82.05,1005.0,3778.0,84.5,-91,13.8
2026-01-08 00:03:23,NODO 1.9,26.66,68.89,1006.0,3861.0,85.1,-99,12.3
2026-01-08 00:05:19,NODO 1.29,25.95,73.77,1004.0,3807.0,84.0,-96,12.8
2026-01-08 00:07:04,NODO 1.30,26.06,76.46,1006.0,3905.0,84.3,-118,-8.8
2026-01-08 00:09:06,NODO 1.7,25.83,74.97,1005.0,3851.0,84.3,-107,8.0
2026-01-08 00:09:17,NODO 1.12,26.12,73.97,1006.0,3822.0,84.9,-104,9.5
2026-01-08 00:10:22,NODO 1.11,26.02,74.18,1004.0,3935.0,85.7,-100,12.0
2026-01-08 00:12:29,NODO 1.10,26.12,72.01,1006.0,3856.0,86.2,-88,13.8
2026-01-08 00:12:52,NODO 1.23,26.63,42.93,1003.0,3881.0,86.0,-114,1.5
2026-01-08 00:13:30,NODO 1.3,26.37,70.93,1006.0,3817.0,85.6,-105,9.0
2026-01-08 00:13:58,NODO 1.1,25.58,74.56,1005.0,3847.0,85.9,-110,5.0
2026-01-08 00:14:16,NODO 1.13,26.05,73.41,1005.0,3847.0,85.0,-104,10.8
2026-01-08 00:15:08,NODO 1.5,26.78,70.38,1005.0,3778.0,83.9,-105,9.8
2026-01-08 00:15:36,NODO 1.32,26.32,88.26,1005.0,3915.0,84.3,-108,7.0
2026-01-08 00:17:31,NODO 1.28,26.16,83.13,1005.0,3773.0,83.7,-105,9.3
2026-01-08 00:17:39,NODO 1.14,26.52,74.16,1005.0,3822.0,83.4,-87,13.5
2026-01-08 00:19:19,NODO 1.31,25.88,75.09,1005.0,3822.0,83.0,-112,3.5
2026-01-08 00:19:21,NODO 1.17,26.18,69.91,1005.0,3778.0,83.0,-87,11.5
